FICE_CODE,UNIVERSITY_NAME
001196,DOMINICAN COLLEGE OF SAN RAFAEL
001197,EL CAMINO COLLEGE
001199,FOOTHILL COLLEGE
001200,FULLER THEOLOGICAL SEMINARY
001201,FULLERTON COLLEGE
001202,GAVILAN COLLEGE
001203,GLENDALE CC
001204,GOLDEN GATE BAPTIST SEMINARY
001205,GOLDEN GATE UNIVERSITY
001206,GOLDEN WEST COLLEGE
001207,GRADUATE THEOLOGICAL UNION
001208,GROSSMONT COLLEGE
001209,HARTNELL COLLEGE
001210,HEALD INSTITUTE OF TECHNOLOGY-SAN FRANCISCO
001211,HEALD INSTITUTE OF TECHNOLOGY-SAN JOSE
001212,HUMPHREYS COLLEGE
001214,IMPERIAL VALLEY COLLEGE
001215,LA SIERRA UNIVERSITY
001216,UNIVERSITY OF LA VERNE
001217,LASSEN COLLEGE
001218,LOMA LINDA UNIVERSITY
001219,LONG BEACH CITY COLLEGE
001220,MASTER’S COLL & SEMINARY
001221,LOS ANGELES COMM COLLEGE
001223,LOS ANGELES CITY COLLEGE
001224,L.A. HARBOR COLLEGE
001226,LA PIERCE COLLEGE
001227,LOS ANGELES TRAINING TECHNICAL COLLEGE
001228,LOS ANGELES VALLEY COLLEG
001230,SOUTHERN CALIFORNIA COLLEGE OF OPTOMETRY
001231,LOS RIOS CC DISTRICT
001232,AMERICAN RIVER COLLEGE
001233,SACRAMENTO CITY COLL
001236,MENLO COLLEGE
001237,MERCED COLLEGE
001238,MILLS COLLEGE
001239,MIRA COSTA COLLEGE
001240,MODESTO JUNIOR COLLEGE
001241,MONTEREY INST INTL STUD
001242,MONTEREY PENINSULA COLL
001243,MT SAINT MARY’S COLLEGE
001245,MT SAN ANTONIO COLLEGE
001246,MT. SAN JACINTO COLLEGE
001247,NAPA VALLEY COLLEGE
001248,NORTHROP
001249,OCCIDENTAL COLLEGE
001250,ORANGE COAST COLLEGE
001251,OTIS ART INSTITUTE OF PARSONS SCHOOL OF DESIGN
001252,PACIFIC CHRISTIAN COLLEGE
001253,FRESNO PACIFIC UNIVERSITY
001254,PACIFIC LUTHERAN THEOLOGICAL SEMINARY
001255,PACIFIC OAKS COLLEGE
001256,PACIFIC SCHOOL OF RELIGION
001258,PACIFIC UNION COLLEGE
001259,PALO VERDE COLLEGE
001260,PALOMAR COLLEGE
001261,PASADENA CITY COLLEGE
001262,POINT LOMA NAZARENE UNIV
001264,PEPPERDINE
001265,PERALTA CC DIST OFFICE
001266,LANEY COLLEGE
001267,MERRITT COLLEGE
001268,PORTERVILLE COLLEGE
001269,RIO HONDO COLLEGE
001270,RIVERSIDE COMM COLLEGE
001272,SAN BERNARDINO VALLEY COL
001273,SAN DIEGO CITY COLLEGE
001275,SAN DIEGO MESA COLLEGE
001277,SAN FRANCISCO COLLEGE OF MORTUARY SCIENCE
001278,SAN FRANCISCO CONSERVATORY OF MUSIC
001279,SAN FRANCISCO THEOLOGICAL SEMINARY
001280,SAN JOAQUIN DELTA COLLEGE
001281,SAN JOSE CHRISTIAN COLLEGE
001282,SAN JOSE CITY COLLEGE
001284,SANTA ANA COLLEGE
001285,SANTA BARBARA CITY COLL
001286,SANTA MONICA COLLEGE
001287,SANTA ROSA JUNIOR COLLEGE
001288,SCHOOL OF THEOLOGY AT CLAREMONT
001289,SHASTA COLLEGE
001290,SIERRA COLLEGE
001291,SIMPSON COLLEGE
001292,SOLANO CC
001293,SOUTHERN CAL COLL
001294,SOUTHWESTERN COLLEGE
001295,SOUTHWESTERN UNIVERSITY SCHOOL OF LAW
001299,SAINT JOHNS SEMINARY COLLEGE
001302,ST MARYS COLL OF CALIF
001303,SAINT JOSEPH'S COLLEGE
001305,STANFORD UNIVERSITY
001307,FRESNO CITY COLLEGE
001308,KINGS RIVER COMMUNITY COLLEGE
001309,TAFT COLLEGE
001310,NAVAL POSTGRADUATE SCHOOL
001312,U OF CAL-BERKELEY
001313,UNIVERSITY OF CAL-DAVIS
001314,U OF CAL-IRVINE
001315,U OF CAL-LOS ANGELES
001316,U OF CAL-RIVERSIDE
001317,U OF CAL-SAN DIEGO
001319,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO
001320,U OF CAL-SANTA BARBARA
001321,UNIVERSITY OF CA SANTA C.
001322,UNIVERSITY OF REDLANDS
001325,U OF SAN FRANCISCO
001326,SANTA CLARA UNIVERSITY
001328,U OF SOUTHERN CALIFORNIA
001329,U OF THE PACIFIC
001334,VENTURA COLLEGE
001335,VICTOR VALLEY COLLEGE
001336,W COAST U-LA
001337,W COAST U-ORANGE CO
001338,WEST VALLEY COLLEGE
001339,WESTERN BAPTIST COLLEGE
001341,WESTMONT COLLEGE
001342,WHITTIER COLL
001343,WOODBURY UNIVERSITY
001344,YUBA COLLEGE
001345,ADAMS STATE COLLEGE
001346,ARAPAHOE COMMUNITY COLL
001347,COLORADO COLLEGE
001348,COLORADO SCHOOL OF MINES
001349,UNIVERSITY OF NORTHERN CO
001350,COLORADO STATE UNIVERSITY
001352,DENVER CONSERVATIVE BAPTIST SEMINARY
001353,FORT LEWIS COLLEGE
001354,ILIFF SCHOOL OF THEOLOGY
001355,LAMAR COMMUNITY COLLEGE
001358,MESA STATE COLLEGE
001359,COLORADO NORTHWESTERN CC
001360,METRO STATE COLL DENVER
001361,NORTHEASTERN JUNIOR COLL
001362,OTERO JUNIOR COLLEGE
001363,REGIS UNIVERSITY
001365,U OF SOUTHERN COLORADO
001367,SAINT THOMAS SEMINARY
001368,TRINIDAD STATE JR COLLEGE
001369,US AIR FORCE ACADEMY
001370,UNIV COL AT BOULDER
001371,UNIVERSITY OF DENVER
001372,WESTERN STATE COLLEGE
001374,ALBERTUS MAGNUS COLL
001378,CENTRAL CONN ST U
001379,CONN COLLEGE
001380,WESTERN CONN ST U
001385,FAIRFIELD U
001386,HARTFORD COLLEGE FOR WOMEN
001387,HARTFORD SEMINARY
001388,HARTFORD STATE TECHNICAL COLLEGE
001392,MANCHESTER COMM COLL
001393,MITCHELL COLLEGE
001397,U OF NEW HAVEN
001398,NORTHWESTERN CT COMM TECH
001399,NORWALK CC
001400,NORWALK STATE TECHNICAL COLLEGE
001401,TEIKYO POST U
001402,QUINNIPIAC U
001403,SACRED HEART UNIV
001406,SO CT STATE U
001408,SAINT BASIL'S COLLEGE
001409,ST JOSEPH COLL
001413,THAMES VALLEY STATE TECHNICAL COLLEGE
001414,TRINITY COLLEGE
001415,US COAST GRD ACADEMY
001416,UNIV OF BRIDGEPORT
001417,UNIV OF CONNECTICUT
001422,U OF HARTFORD
001423,NAUGATUCK VALLEY CC
001424,WESLEYAN UNIVERSITY
001425,EASTERN CT STATE U
001426,YALE UNIV
001427,WIDENER UNIVERSITY/DELAWARE CAMPUS
001428,DELAWARE ST UNIVERSITY
001429,GOLDEY-BEACOM COLLEGE
001431,U OF DELAWARE
001433,WESLEY COLLEGE
001434,AMERICAN UNIVERSITY
001435,BENJAMIN FRANKLIN U
001436,CAPITOL COLLEGE
001437,CATHOLIC UNIV OF AMERICA
001441,UNIV OF THE DC
001443,GALLAUDET UNIVERSITY
001444,GEORGE WASHINGTON UNIV
001445,GEORGETOWN UNIVERSITY
001448,HOWARD UNIVERSITY
001452,MOUNT VERNON COLLEGE
001456,SOUTHEASTERN UNIVERSITY
001459,STRAYER COLL
001460,TRINITY COLL
001462,WASHINGTON BIBLE COLLEGE
001464,WESLEY THEOLOGICAL SEMINARY
001466,BARRY UNIVERSITY
001467,BETHUNE COOKMAN COLLEGE
001468,ST.THOMAS UNIVERSITY
001469,FLORIDA INSTITUTE OF TECH
001470,BREVARD COMMUNITY COLLEGE
001471,CENTRAL FLORIDA COMM COLL
001472,CHIPOLA JUNIOR COLLEGE
001473,CLEARWATER CHRISTIAN COLL
001475,DAYTONA BEACH COMM COLL
001477,EDISON COMMUNITY COLLEGE
001478,EDWARD WATERS COLLEGE
001479,EMBRY-RIDDLE AERO UNIV
001480,FLORIDA AGRI & MECH UNIV
001481,FLORIDA ATLANTIC UNIV
001482,FLORIDA COLL TEMPLE TERR
001484,FLORIDA COMMUNITY COLL
001485,FLORIDA KEYS COMM COLLEGE
001486,FLORIDA MEMORIAL COLLEGE
001487,ECKERD COLLEGE
001488,FLORIDA SOUTHERN COLLEGE
001489,FLORIDA STATE UNIVERSITY
001490,GULF COAST COMMUNITY COLL
001493,INDIAN RIVER COMM COLLEGE
